POSTACCT,JOURNAL,POSTDATE,REFNO,SUFFIX,TRANDATE,CNTRLNO,DESC,AMOUNT,COUNT,SYS_DATE,TYPE,COUNTER,CREDIT_AMT,POSTBY,SYSTEM,BALANCE,UNAPPLIED,STOCK,ORIG_APPLY,FISCAL,INVOICE,INVOICE2,INVOICE3,INVOICE4,INVOICE5,HEDPOST,ORIG_AMT,BATCHNO
1441,60,2014-10-01,     32188,,2014-10-01,,,7320.0,0,2014-10-01,8,0,0.0,Jesse Dovi,AC,7320.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-01,     32188,,2014-10-01,     32188, AFTERMARKET EFFECTS,-7320.0,0,2014-10-01,8,0,0.0,Jesse Dovi,AC,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1400,60,2014-10-02,     32189,,2014-10-02,,,20.0,0,2014-10-02,8,0,0.0,Jesse Dovi,AC,20.0,0.0,,0.0,0.0,,,,,,,0.0,
8681,60,2014-10-02,     32189,,2014-10-02,,,9.95,0,2014-10-02,8,0,0.0,Jesse Dovi,AC,9.95,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-02,     32189,,2014-10-02,     32189,Jesse DOVI,-29.95,0,2014-10-02,8,0,0.0,Jesse Dovi,AC,0.0,0.0,,0.0,0.0,,,,,,,0.0,
7770,60,2014-10-02,     32190,,2014-10-02,,,86.4,0,2014-10-02,8,0,0.0,Jesse Dovi,AC,86.4,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-02,     32190,,2014-10-02,     32190,THOMAS DOVI,-86.4,0,2014-10-02,8,0,0.0,Jesse Dovi,AC,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32199,,2014-10-03,    774830,ADP DEALER SERVICES,-16.23,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,60,2014-10-03,     32199,,2014-10-03,    774830,ADP DEALER SERVICES,16.23,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32200,,2014-10-03,    258010,EARTHLINK BUSINESS,-332.62,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,60,2014-10-03,     32200,,2014-10-03,    258010,EARTHLINK BUSINESS,332.62,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32201,,2014-10-03,    462320,NATIONAL AUTO DEALERS SERV COR,-285.0,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,60,2014-10-03,     32201,,2014-10-03,    462320,NATIONAL AUTO DEALERS SERV COR,285.0,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32202,,2014-10-03,    311480,NYS AUTO DEALERS INC,-6250.89,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,60,2014-10-03,     32202,,2014-10-03,    311480,NYS AUTO DEALERS INC,6250.89,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32203,,2014-10-03,    572111,NYSEG,-53.52,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,60,2014-10-03,     32203,,2014-10-03,    572111,NYSEG,53.52,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32204,,2014-10-03,    827210,PITNEY BOWES INC,-152.28,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,60,2014-10-03,     32204,,2014-10-03,    827210,PITNEY BOWES INC,152.28,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32205,,2014-10-03,    269770,TIME WARNER ROAD RUNNER,-104.45,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,60,2014-10-03,     32205,,2014-10-03,    269770,TIME WARNER ROAD RUNNER,104.45,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32206,,2014-10-03,    258770,UNITED PARCEL SERVICE,-30.79,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2100,60,2014-10-03,     32206,,2014-10-03,    258770,UNITED PARCEL SERVICE,30.79,0,2014-10-03,2,0,0.0,Jesse Dovi,AP,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2310,60,2014-10-03,     32207,,2014-10-03,,,4741.0,0,2014-10-03,8,0,0.0,Jesse Dovi,AC,4741.0,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-03,     32207,,2014-10-03,     32207, NBT BANK NA,-4741.0,0,2014-10-03,8,0,0.0,Jesse Dovi,AC,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1300,60,2014-10-07,     32208,,2014-10-07,    FT3340,2015 F350,63666.18,0,2014-10-07,8,0,0.0,Jesse Dovi,AC,63666.18,0.0,,0.0,0.0,,,,,,,0.0,
1001,60,2014-10-07,     32208,,2014-10-07,     32208, VISION FORD,-63666.18,0,2014-10-07,8,0,0.0,Jesse Dovi,AC,0.0,0.0,,0.0,0.0,,,,,,,0.0,
8640,75,2014-10-08,  985594-0,,2014-10-07,,,390.95,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
2100,75,2014-10-08,  985594-0,,2014-10-07,    638600,ACCOUNTS PAYABLE,-390.95,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
8500,75,2014-10-08,    100314,,2014-10-03,,,31.53,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
2100,75,2014-10-08,    100314,,2014-10-03,    572111,ACCOUNTS PAYABLE,-31.53,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
7130,75,2014-10-08,  09460197,,2014-09-29,,,43.03,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
7330,75,2014-10-08,  09460197,,2014-09-29,,,43.03,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
2100,75,2014-10-08,  09460197,,2014-09-29,   8940590,ACCOUNTS PAYABLE,-86.06,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
1441,75,2014-10-08,     40191,,2014-10-07,,,20.0,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
2100,75,2014-10-08,     40191,,2014-10-07,    311530,ACCOUNTS PAYABLE,-20.0,0,2014-10-08,14,0,0,Jesse Dovi,AP,0.0,0.0,,0,0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124603,Claim # 124603,-315.56,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124621,Claim # 124621,-438.72,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124621,Claim # 124621 WTY DED,100.0,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124749,Claim # 124749,-37.3,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124834,Claim # 124834,-248.08,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124880,Claim # 124880,-22.38,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124880,Claim # 124880,-14.92,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124881,Claim # 124881,-14.92,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124881,Claim # 124881,-19.99,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124881,Claim # 124881,-14.92,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124882,Claim # 124882,-50.97,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124900,Claim # 124900,-22.38,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124913,Claim # 124913,-14.92,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124916,Claim # 124916,-147.15,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124928,Claim # 124928,-22.38,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124940,Claim # 124940,-22.38,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100214,,2014-10-08,    124964,Claim # 124964,-208.73,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2103,51,2014-10-08, OWS100214,,2014-10-08,    832121,OWS 10/08/2014 08:51:14 AM,1515.7,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100114,,2014-10-08,    124566,Claim # 124566,-509.96,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS100114,,2014-10-08,    124674,Claim # 124674,-59.51,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2103,51,2014-10-08, OWS100114,,2014-10-08,    832121,OWS 10/08/2014 08:51:52 AM,569.47,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1002,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,-9775.92,0,2014-10-08,9,0,0,LUKE DOVI,AC,-9775.92,0.0,,0,0,,,,,,,-9775.92,    101225
2132,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,-10.35,0,2014-10-08,9,0,0,LUKE DOVI,AC,-10.35,0.0,,0,0,,,,,,,-10.35,    101225
8040,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,-865.57,0,2014-10-08,9,0,0,LUKE DOVI,AC,-865.57,0.0,,0,0,,,,,,,-865.57,    101225
8660,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,43.24,0,2014-10-08,9,0,0,LUKE DOVI,AC,43.24,0.0,,0,0,,,,,,,43.24,    101225
1440,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,4009.51,0,2014-10-08,9,0,0,LUKE DOVI,AC,4009.51,0.0,,0,0,,,,,,,4009.51,    101225
7030,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,129.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,129.0,0.0,,0,0,,,,,,,129.0,    101225
7340,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,129.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,129.0,0.0,,0,0,,,,,,,129.0,    101225
8420,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,72.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,72.0,0.0,,0,0,,,,,,,72.0,    101225
8020,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,1209.23,0,2014-10-08,9,0,0,LUKE DOVI,AC,1209.23,0.0,,0,0,,,,,,,1209.23,    101225
7600,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,950.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,950.0,0.0,,0,0,,,,,,,950.0,    101225
7070,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,750.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,750.0,0.0,,0,0,,,,,,,750.0,    101225
7270,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,750.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,750.0,0.0,,0,0,,,,,,,750.0,    101225
7080,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,375.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,375.0,0.0,,0,0,,,,,,,375.0,    101225
7280,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,375.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,375.0,0.0,,0,0,,,,,,,375.0,    101225
7700,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,1150.0,0,2014-10-08,9,0,0,LUKE DOVI,AC,1150.0,0.0,,0,0,,,,,,,1150.0,    101225
8100,40,2014-10-08,    101225,0000,2014-10-08,,PAYROLL FOR 10/10,709.86,0,2014-10-08,9,0,0,LUKE DOVI,AC,709.86,0.0,,0,0,,,,,,,709.86,    101225
1002,60,2014-10-08,     32209,,2014-10-08,,,9775.92,0,2014-10-08,8,0,0,Jesse Dovi,AC,9775.92,0.0,,0,0,,,,,,,0.0,
1001,60,2014-10-08,     32209,,2014-10-08,     32209, CFCU COMMUNITY CREDIT UNION,-9775.92,0,2014-10-08,8,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,0.0,
1140,51,2014-10-08, OWS092914,,2014-10-08,    124433,Claim # 124433,-256.0,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
1140,51,2014-10-08, OWS092914,,2014-10-08,    124851,Claim # 124851,-82.06,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2103,51,2014-10-08, OWS092914,,2014-10-08,    832121,OWS 10/08/2014 09:35:39 AM,338.06,0,2014-10-08,0,0,0.0,Jesse Dovi,OW,0.0,0.0,,0.0,0.0,,,,,,,0.0,
2000,50,2014-10-08,    101228,0000,2014-10-08,    ES3044,FMCC PAYOFFS,408.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,408.0,    101228
2000,50,2014-10-08,    101228,0000,2014-10-08,    ED3199,FMCC PAYOFFS,36162.4,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,36162.4,    101228
7180,50,2014-10-08,    101228,0000,2014-10-08,,FMCC PAYOFFS,5605.34,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,5605.34,    101228
7380,50,2014-10-08,    101228,0000,2014-10-08,,FMCC PAYOFFS,574.7,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,574.7,    101228
1003,50,2014-10-08,    101228,0000,2014-10-08,,FMCC PAYOFFS,-42750.44,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-42750.44,    101228
1001,50,2014-10-08,    101227,0000,2014-10-08,,TRANSFER,-25000.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-25000.0,    101227
1003,50,2014-10-08,    101227,0000,2014-10-08,,TRANSFER,25000.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,25000.0,    101227
1020,50,2014-10-08,    101226,0000,2014-10-08,    ES3242,PEAK,-4411.34,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-4411.34,    101226
1003,50,2014-10-08,    101226,0000,2014-10-08,,PEAK,4411.34,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,4411.34,    101226
2000,50,2014-10-08,    101223,0000,2014-10-08,    ES3242,FMCC PAYOFFS,27972.6,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,27972.6,    101223
2000,50,2014-10-08,    101223,0000,2014-10-08,    ES3315,FMCC PAYOFFS,26384.72,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,26384.72,    101223
1003,50,2014-10-08,    101223,0000,2014-10-08,,FMCC PAYOFFS,-54357.32,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-54357.32,    101223
1020,50,2014-10-08,    101221,0000,2014-10-08,    FC3306,ROSATO,-17937.7,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-17937.7,    101221
1003,50,2014-10-08,    101221,0000,2014-10-08,,ROSATO,17937.7,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,17937.7,    101221
2000,50,2014-10-08,    101220,0000,2014-10-08,    FC3306,FMCC PAYOFFS,19864.04,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,19864.04,    101220
1003,50,2014-10-08,    101220,0000,2014-10-08,,FMCC PAYOFFS,-19864.04,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-19864.04,    101220
1300,50,2014-10-08,    101216,0000,2014-10-08,    FT3332,NSYI GRANT ST,20.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,20.0,    101216
1441,50,2014-10-08,    101216,0000,2014-10-08,,NSYI GRANT ST,-20.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-20.0,    101216
1300,50,2014-10-08,    101199,0000,2014-10-08,    FT3313,BEDLINER,164.99,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,164.99,    101199
1441,50,2014-10-08,    101199,0000,2014-10-08,,BEDLINER,-164.99,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-164.99,    101199
1300,50,2014-10-08,    101173,0000,2014-10-08,    FT3133,PLOW,7320.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,7320.0,    101173
1441,50,2014-10-08,    101173,0000,2014-10-08,,PLOW,-7320.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-7320.0,    101173
1001,50,2014-10-08,    101219,0000,2014-10-08,,TRANSFER,-15000.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-15000.0,    101219
1003,50,2014-10-08,    101219,0000,2014-10-08,,TRANSFER,15000.0,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,15000.0,    101219
1020,50,2014-10-08,    101218,0000,2014-10-08,    FT3176,STEGER,-21562.42,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-21562.42,    101218
1003,50,2014-10-08,    101218,0000,2014-10-08,,STEGER,21562.42,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,21562.42,    101218
2000,50,2014-10-08,    101217,0000,2014-10-08,    FT3176,FMCC PAYOFFS,33573.6,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,33573.6,    101217
1003,50,2014-10-08,    101217,0000,2014-10-08,,FMCC PAYOFFS,-33573.6,0,2014-10-08,9,0,0,Jesse Dovi,AC,0.0,0.0,,0,0,,,,,,,-33573.6,    101217
1121,30,2014-10-08,    124511,,2014-09-16,    124511,Credit Cards,2108.54,1,2014-10-08,18,0,0,Jesse Dovi,SI,0.0,0.0,,0,0,,,,,,,0.0,    124511
1400,30,2014-10-08,    124511,,2014-09-16,    124511,CASE,-946.41,1,2014-10-08,18,0,0,Jesse Dovi,SI,0.0,0.0,,0,0,,,,,,,0.0,    124511
2150,30,2014-10-08,    124511,,2014-09-16,    124511,Customer Pay Taxes,-156.19,1,2014-10-08,18,0,0,Jesse Dovi,SI,0.0,0.0,,0,0,,,,,,,0.0,    124511
